Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Maz's Counsel,4bElef2DtJhpp0M9dRLDPY,0.966,0.133,0.0133,0.741,0.741,-24.976,0.043,0.0327,74.99,32
The Starkiller,7olfP2L9CUVWXfCzwJgb4Z,0.946,0.169,0.089,0.835,0.835,-23.308,0.0436,0.0301,88.408,36
Kylo Ren Arrives at the Battle,4iMmW8NcVFU5ytJkHa6IbA,0.881,0.242,0.302,0.942,0.942,-14.991,0.0522,0.0554,123.185,42
The Abduction,2vEkF5UazjaBL6CpG2BZgq,0.672,0.159,0.23,0.848,0.848,-15.441,0.033,0.0632,84.933,34
Han and Leia,435kGXFzCdIT7O3qlR34zw,0.968,0.0836,0.0223,0.948,0.948,-22.6,0.0453,0.0387,170.502,38
March of the Resistance,420y9qWviZ4cdneynQWSKr,0.88,0.608,0.398,0.915,0.915,-9.625,0.0295,0.487,101.955,46
Snoke,3o1js2az714YgrfcMgxdas,0.896,0.0753,0.00822,0.948,0.948,-38.384,0.0416,0.0333,81.373,34
On the Inside,2TJXxLu257ui8dF7KisSCA,0.96,0.32,0.0802,0.882,0.882,-19.48,0.037,0.0357,58.171,31
Torn Apart,6A3isPtF8KMQfI3Ce4cImd,0.921,0.078,0.128,0.855,0.855,-14.775,0.0444,0.0374,79.208,35
The Ways of the Force,2ufKdr8F14sT0dOrExY3zK,0.871,0.172,0.307,0.941,0.941,-14.977,0.0372,0.0491,77.818,36
Scherzo for X-Wings,6eWfgktrz9i593f0ivmw25,0.787,0.37,0.431,0.839,0.839,-10.02,0.0425,0.327,135.875,35
Farewell and The Trip,5rNeP2W50bPqxNGznooWCV,0.961,0.149,0.117,0.846,0.846,-16.079,0.0367,0.0373,102.437,35
The Jedi Steps and Finale,3fdY6ZVYtiHcrArNdvK3Ux,0.908,0.234,0.27,0.941,0.941,-12.99,0.0342,0.0738,134.379,44
Will He,0QziEpVqLTPHqhyP6aqLXY,0.821,0.607,0.259,0.000172,0.000172,-13.03,0.0481,0.101,116.134,32
Pills,6bm0cMfNf5ZUxDuzfuWagP,0.582,0.421,0.407,0.775,0.775,-10.732,0.0777,0.238,80.748,27
Demons,3OzollQJqCT2qgceHFinNQ,0.416,0.464,0.378,0.0917,0.0917,-11.354,0.143,0.037,164.486,33
Window,0Ao9AwNTE5dka0vwyG52M2,0.425,0.644,0.329,0.665,0.665,-12.598,0.0896,0.202,156.971,30
Bitter,0Y2ELE71fOabKXVyEYquBB,0.452,0.817,0.343,0.0179,0.0179,-9.532,0.0419,0.108,120.013,26
worldstar money (interlude),4jyC2FscjLBNQTMf2xR9dq,0.964,0.577,0.387,0.706,0.706,-8.607,0.274,0.459,146.565,43
Kaleidoscope,2wwJnjee7e1x7SUs6J6bHE,0.0117,0.698,0.735,0.853,0.853,-7.464,0.115,0.787,140.014,4
Sanction,5x2QWdETaLvwrTF7ERzqoo,0.185,0.417,0.907,0.0944,0.0944,-6.456,0.147,0.613,99.391,4
Fireworx,02kvTlE10pXpiV7WeenIAW,0.0257,0.661,0.983,0.000171,0.000171,-5.57,0.623,0.231,90.681,3
Tritone,3ickSmHcfZv6khOJ8iklsR,0.288,0.677,0.76,0.0436,0.0436,-6.756,0.145,0.414,139.871,3
Globe Amaranth,0hI5P4q4obE5taO9bEmaBv,0.178,0.637,0.42,0.908,0.908,-12.785,0.0462,0.59,132.456,2
Suffolk Punch,6LnE00VRn6mOc5Pp63sTf8,0.0194,0.643,0.79,0.213,0.213,-7.413,0.44,0.218,137.761,2
The Catacombs,0ARkpl6hRfvra8eCmAHJiL,0.00249,0.598,0.923,0.0,0.0,-4.19,0.389,0.362,97.045,6
Labyrinth of Ghosts,1RJOFXC6LR9jfsgRrZuoPg,0.231,0.693,0.578,0.923,0.923,-12.72,0.0361,0.446,121.977,2
September,4bdS8hT7H37LSnKBlUJqdj,0.035,0.537,0.741,0.00422,0.00422,-4.248,0.118,0.537,156.134,4
Ruck,2J31hDdnOJri95O2lq4xku,0.0269,0.675,0.892,0.587,0.587,-6.324,0.079,0.659,142.041,2
Noon KO,7yUVn2zRR5IpNLS0VrolyT,0.0078,0.835,0.973,0.353,0.353,-4.375,0.135,0.702,139.967,3
Grey,2k1W5nq7UnpPvjUxpawnw7,0.349,0.51,0.66,0.687,0.687,-12.377,0.107,0.494,120.368,2
Another Day Of Sun,5kRBzRZmZTXVg8okC7SJFZ,0.0162,0.588,0.742,3.98e-06,3.98e-06,-6.757,0.0528,0.824,125.819,65
Someone In The Crowd,39ncDMVidHOeQgeC5anYZM,0.0906,0.616,0.538,8.98e-06,8.98e-06,-9.165,0.17,0.278,127.948,62
