Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Mr. Roboto,7C0rG4oWO7VeZcffyW1sK9,0.186,0.663,0.482,0.0,0.0,-12.093,0.0479,0.314,144.13,60
Come On Now,0jC2XPH7vnNK5ol0bfC8Zs,0.711,0.511,0.9,0.000156,0.000156,-2.022,0.0329,0.718,164.37,41
Surfin' Safari - Remastered,4kIYRtgbZyPzAWSFLdlajW,0.795,0.542,0.785,2.3e-05,2.3e-05,-5.251,0.0439,0.967,158.37,48
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,0.0263,0.766,0.563,0.683,0.683,-7.516,0.0339,0.964,126.007,73
Funky Town,7723JnKU2R15Iv4T7OJrly,0.000547,0.906,0.63,0.616,0.616,-8.071,0.0575,0.342,122.458,70
Trampoline,3LuLUNgRmmgcr14dTIWH2S,0.0525,0.856,0.863,0.0,0.0,-4.318,0.057,0.673,124.998,51
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,0.0849,0.652,0.748,0.0,0.0,-5.242,0.0887,0.652,94.1,74
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.225,0.692,0.711,0.0,0.0,-7.498,0.0317,0.875,125.135,81
Giorgio by Moroder,0oks4FnzhNp5QPTZtoet7c,0.0692,0.74,0.682,0.53,0.53,-10.42,0.0504,0.41,113.201,62
Team,15jRg8Ejs7X3JEHw38TSN3,0.167,0.69,0.578,0.0,0.0,-7.436,0.0929,0.416,99.961,71
Vroom Vroom,5hyq3LBlCfjRQAFkdQwe8o,0.122,0.836,0.684,0.0,0.0,-5.818,0.241,0.514,151.007,64
For What It's Worth,1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,0.0209,-10.164,0.0497,0.822,98.883,75
"Harder, Better, Faster, Stronger",5W3cjX2J3tjhG8zb6u0qHn,0.0427,0.817,0.716,0.00263,0.00263,-8.898,0.144,0.692,123.475,71
Albuquerque,2Ec0liSMY2h4XORHyzKCmY,0.0826,0.618,0.768,0.0,0.0,-9.881,0.32,0.62,186.599,38
Can't Take My Eyes off You,6ft9PAgNOjmZ2kFVP7LGqb,0.566,0.575,0.764,1.07e-05,1.07e-05,-7.448,0.0746,0.536,123.821,68
Dancing with Myself - 2001 Remaster,7fJnj6rso7N95oztvsxrWD,5.83e-05,0.387,0.886,0.275,0.275,-6.981,0.0617,0.757,176.426,58
Nine in the Afternoon - Single Mix,1S30kHvkkdMkcuCTGSgS41,0.0843,0.405,0.689,0.0,0.0,-5.75,0.0365,0.397,155.189,63
Them Changes,7CH99b2i1TXS5P8UUyWtnM,0.54,0.657,0.562,0.00143,0.00143,-8.6,0.0601,0.704,81.657,72
Hardware Store,2Q26sym8OSOl6PfH7LLPtJ,0.185,0.707,0.867,0.000338,0.000338,-12.443,0.0703,0.684,126.138,43
Dragonball Durag,7eWGnKg4B44sbBPpQp4y2c,0.697,0.648,0.59,0.808,0.808,-9.664,0.0942,0.401,81.045,67
Fever - Remastered,6eCsRg7OBi1zT2CEKKyoXN,0.388,0.794,0.0715,0.0,0.0,-21.305,0.131,0.333,68.331,50
Guantanamera,6ek8f65UGCZaiIBcXkexlE,0.176,0.752,0.633,3.88e-05,3.88e-05,-3.989,0.0302,0.796,126.853,46
Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,0.76,0.5489999999999999,0.529,0.0,0.20600000000000002,-12.290999999999999,0.10800000000000001,0.46399999999999997,82.755,62
Be My Baby,2G2YzndIA6jeWFPBXhUjh5,0.18100000000000002,0.511,0.769,0.0,0.0921,-7.032,0.042,0.818,129.657,70
Change of the Guard,4xw8UnKYxsiRFjigtQcVAL,0.111,0.293,0.766,0.864,0.864,-8.86,0.0668,0.369,117.303,38
YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.619,0.672,0.588,0.241,0.241,-9.573,0.133,0.204,169.033,81
White Winter Hymnal,3QVtICc8ViNOy4I5K14d8Z,0.438,0.629,0.505,0.0,0.0,-9.663,0.0268,0.711,124.92,54
Loser,5PntSbMHC1ud6Vvl8x56qd,0.0337,0.654,0.611,0.000178,0.405,-10.45,0.11900000000000001,0.7859999999999999,85.387,70
Who Are You,23IJ5wLRhEZ9DOuia5mPiZ,0.262,0.651,0.648,0.0042,0.0042,-11.409,0.0501,0.49,156.372,68
Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.42,0.489,0.483,0.0028,0.0028,-9.466,0.0275,0.333,136.822,73
Demons,3IsOr4fNjL24DtkNIBqjKz,0.416,0.458,0.378,0.0919,0.0919,-11.354,0.15,0.037,168.232,56
Bitter Fuck,3LKgZUoFX1c4uT1CPDoOhz,0.426,0.803,0.338,0.00503,0.00503,-9.397,0.0415,0.0723,119.989,60
Will He,4apZVURUvTrT9S51LBuXON,0.836,0.618,0.217,0.000163,0.000163,-15.372,0.0515,0.0872,116.014,55
Pills,5iIixnRBYl3NJDBfzEOKWz,0.582,0.454,0.407,0.774,0.774,-10.733,0.0739,0.242,81.401,52
Window,7kdhk2tiGUgIPwZRd2if6I,0.425,0.643,0.329,0.665,0.665,-12.598,0.0898,0.202,156.959,53
Potato Salad,1jzIJcHCXneHw7ojC6LXiF,0.308,0.538,0.612,0.0,0.0,-6.02,0.424,0.684,168.197,74
Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.292,0.69,0.651,0.00241,0.00241,-8.267,0.0324,0.706,97.918,75
Dream On,5MxNLUsfh7uzROypsoO5qe,0.388,0.307,0.433,9.08e-05,9.08e-05,-10.057,0.029,0.224,160.9,78
Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,0.00298,0.38,0.76,0.0294,0.0294,-10.961,0.0378,0.491,99.437,75
War Pigs / Luke's Wall - 2012 - Remaster,2rd9ETlulTbz6BYZcdvIE1,0.222,0.332,0.623,0.000895,0.000895,-12.363,0.08,0.413,183.097,64
Introvert (feat. Joji),3qbqWUDl9j09PeBaQ6CZgr,0.14,0.836,0.686,0.00231,0.00231,-4.673,0.0413,0.632,110.029,61
Dead Man's Party,2h47SG8bNphmicAll4H9RV,0.5,0.568,0.863,0.000137,0.000137,-10.984,0.0383,0.923,161.261,60
Funny Thing,1c5CllrZr45UBhWpIqM332,0.827,0.586,0.893,0.642,0.642,-8.772,0.439,0.65,140.023,77
展覧会の午後,3N4WqgWY7QWGjRQSBqejE8,0.358,0.634,0.394,0.000175,0.000175,-11.672,0.0299,0.559,126.269,3
Hi-way 1,191ARkQj4PS1N35KBU96Rm,0.125,0.789,0.856,0.00693,0.00693,-8.879,0.0386,0.759,112.389,19
EMCのラップ道,1e33xno932wk7YpHtfv9XL,0.351,0.832,0.803,0.0,0.0,-5.134,0.0841,0.783,114.302,31
WINDY SUMMER,7fgmo2cHGzWLexkRhBeECj,0.175,0.653,0.762,0.00113,0.00113,-5.042,0.0311,0.838,106.951,51
Remember Summer Days,1qUo7d5lAOclNVbTUY0A2R,0.342,0.634,0.665,8.87e-05,8.87e-05,-4.969,0.0318,0.787,96.698,53
BREEZIN',7hgTD3nmWLbF58Rsugc27d,0.117,0.594,0.779,0.844,0.844,-9.609,0.0435,0.765,104.434,37
サンセット・ロード,1H9RGVK5hw404lHcKCSA67,0.336,0.821,0.785,0.0,0.0,-4.35,0.0296,0.929,103.888,46
Telephone Number,2iCPjExHWYrQdC3NZPxvIc,0.368,0.604,0.632,0.000123,0.000123,-6.407,0.0491,0.854,94.641,43
Mas Que Nada,7f45eBjWvqhcf9KbiYfdJH,0.769,0.387,0.559,0.000636,0.000636,-8.234,0.0509,0.664,178.043,48
The Moonbeam Song,0oYxieOBwLhUyGyb5j1TYv,0.858,0.363,0.109,0.000614,0.000614,-21.289,0.032,0.21,105.005,36
Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,0.173,0.848,0.666,0.000699,0.000699,-6.547,0.274,0.744,96.662,71
worldstar money (interlude),435yU2MvEGfDdmbH0noWZ0,0.964,0.577,0.387,0.705,0.705,-8.607,0.274,0.459,146.565,75
Backyard Boy,0QpOqKz66ZxHNqj2PPHiFF,0.321,0.817,0.634,0.0,0.0,-7.246,0.162,0.453,138.015,74
Starman - 2012 Remaster,0pQskrTITgmCMyr85tb9qq,0.166,0.486,0.45,2.06e-06,2.06e-06,-10.298,0.0267,0.55,100.456,72
No Pressure Intro,41hwbZ1yF705MxJ7H9bwEu,0.372,0.794,0.845,0.0,0.0,-6.118,0.387,0.831,93.939,65
Soul Food II,7e0nXDIIa6hFqI4HmuanLP,0.13,0.457,0.909,0.0,0.0,-4.749,0.328,0.615,87.412,64
Perfect,5jbDih9bLGmI8ycUKkN5XA,0.00948,0.769,0.829,6.65e-05,6.65e-05,-5.228,0.0661,0.648,159.943,73
Elegia - 2015 Remaster,2Xs7CP4Gw8wJ8qX8fkrCAB,0.0515,0.431,0.44,0.868,0.868,-10.288,0.033,0.0384,76.883,52
Come Back Jonee,2gtceWbPOZYvLK5nj02Kci,0.0315,0.355,0.874,0.161,0.161,-7.734,0.217,0.77,176.79,29
Jocko Homo,4FEUoGEmytDfKURalZlbcv,0.557,0.567,0.556,0.000441,0.000441,-12.952,0.108,0.808,123.899,34
The Great Curve - 2005 Remaster,35ljOibZSLEjOEPGrbaJsH,0.403,0.6,0.869,0.0205,0.0205,-5.591,0.0795,0.687,152.06,48
Pocket Crocodile,4hglQSLy3PHgu2e1kQ5qxe,0.0128,0.673,0.721,0.0013,0.0013,-5.503,0.0696,0.163,108.045,38
(I Can't Get No) Satisfaction,5FzBxhIsZBFXDTVGWtV4IQ,0.166,0.878,0.655,0.0228,0.0228,-11.821,0.155,0.963,102.16,47
Royals,2dLLR6qlu5UJ5gk0dKz0h3,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,0.337,84.87799999999999,76
Electric Avenue,3N2nIBN3a9J40PIij4gW5F,0.333,0.934,0.419,1.74e-05,1.74e-05,-13.264,0.17,0.878,120.973,47
"Boom, Boom, Boom, Boom!!",2Ld2LehpgQNREMxl9LlIzm,0.0134,0.811,0.935,0.411,0.411,-4.595,0.0407,0.968,138.479,76
The Winner Takes It All,2HeTmGTjl870ucJ8mF7zl5,0.548,0.457,0.785,0.000781,0.000781,-6.783,0.0383,0.522,126.947,59
Boogie Wonderland,6ztstiyZL6FXzh4aG46ZPD,0.0843,0.802,0.7559999999999999,0.00765,0.0521,-10.790999999999999,0.0349,0.963,131.715,73
Lipslap,2oZHqyiEdQvZimjrdQrEtF,0.0343,0.812,0.828,0.00104,0.00104,-4.984,0.0706,0.909,124.035,44
Lovefool,0u4htORODiTK9vHVA89MQX,0.0646,0.64,0.602,0.0,0.0,-7.902,0.0299,0.951,111.87,66
Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,0.58,0.338,0.34,0.0032,0.0032,-12.049,0.0339,0.197,82.433,78
No Sleep Till Brooklyn,5qxChyzKLEyoPJ5qGrdurN,0.122,0.712,0.691,0.0,0.0,-8.157,0.128,0.742,97.022,66
Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,0.00757,0.503,0.858,0.00234,0.0803,-6.296,0.0657,0.419,133.615,69
Intergalactic - Remastered,5fpizYGbi5IQoEraj6FP0R,0.022,0.734,0.864,9.85e-06,9.85e-06,-6.119,0.303,0.47,105.932,68
Sabotage,0Puj4YlTm6xNzDDADXHMI9,0.032,0.324,0.938,0.0321,0.0961,-7.332000000000001,0.102,0.5429999999999999,168.13099999999997,72
Rich Girl,5E3P9e1hvjyIOlFyqNB5eD,0.5,0.598,0.643,0.0,0.0,-6.303,0.134,0.823,167.971,68
I Walk the Line,7hxZF4jETnE5Q75rKQnMjE,0.877,0.713,0.258,0.00606,0.00606,-14.59,0.0384,0.56,98.805,67
"Cat People (Putting Out Fire) - Single Version, 2002 Remaster",3CD75JGmSMKA3RW5RtOwAz,0.0256,0.73,0.526,0.000887,0.000887,-10.909,0.0429,0.385,118.208,54
Twist And Shout - Remastered 2009,5ZBeML7Lf3FMEVviTyvi8l,0.641,0.482,0.849,7.74e-06,7.74e-06,-9.198,0.0452,0.937,124.631,73
Psycho Killer - 2005 Remaster,1i6N76fftMZhijOzFQ5ZtL,0.0707,0.721,0.521,0.00552,0.00552,-8.123,0.0612,0.942,123.118,74
Ka Huila Wai,3PPwU4B9ZEtJ9GR0bX79Qd,0.677,0.389,0.584,1.45e-06,1.45e-06,-6.806,0.0349,0.591,167.692,37
Somewhere Over The Rainbow_What A Wonderful World,25U7raB3ZSszayTYClh4hF,0.928,0.663,0.168,5.68e-05,5.68e-05,-13.725,0.0448,0.678,85.005,69
Salade de fruits,5pFeYH3yiFRABYvyaRi17q,0.419,0.772,0.237,0.0,0.0,-12.898,0.0894,0.834,116.341,23
Flamingo,3AaiEsiqHO2ylnnOdWninE,0.313,0.788,0.49,0.0,0.0,-6.287,0.511,0.79,177.865,64
White Sky,1W2ox3KxfTEQfO5NdOaK7E,0.112,0.785,0.692,0.00505,0.00505,-5.647,0.0776,0.944,102.019,46
World Turning,6QvgyZ8xG2OFGjZsH3s8d3,0.174,0.676,0.379,0.0072,0.0072,-19.42,0.031,0.818,115.237,58
My Party,2hL82xDIvhdYbTipnF8tZx,0.0283,0.917,0.676,5.17e-06,5.17e-06,-4.367,0.0649,0.788,102.029,36
One (Blake's Got A New Face),6CyKXBfcqpoCBh4yRvoNyK,0.0394,0.89,0.576,0.00311,0.00311,-7.846,0.0432,0.743,109.996,43
Diplomat’s Son,0ybF6SJTJw1RCpsF0QagFw,0.209,0.503,0.815,0.0513,0.0513,-6.967,0.338,0.842,193.93,47
M79,6L9qYgThsnIpK9CFKdZMnk,0.14,0.774,0.603,0.00764,0.00764,-6.941,0.04,0.94,113.022,48
Bizarre Love Triangle,6wVViUl2xSRoDK2T7dMZbR,0.0804,0.613,0.885,0.746,0.746,-7.463,0.052,0.919,118.506,66
Campus,7ui9Qq4JcPGcd3xWOeXhHp,0.224,0.524,0.709,0.193,0.193,-5.874,0.0632,0.584,108.68,67
Cousins,421g9amcUikSqmfuG8EwON,0.00122,0.494,0.811,0.0,0.0,-5.144,0.202,0.818,176.091,50
Mansard Roof,1f1yeiwuYTE8uUK3azgIX1,0.365,0.536,0.7,0.000107,0.000107,-4.284,0.141,0.714,165.406,51
A-Punk,1595LW73XBxkRk2ciQOHfr,0.0104,0.548,0.816,0.0543,0.0543,-4.478,0.0499,0.857,174.993,66
Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,0.0838,0.742,0.844,0.0,0.0,-6.441,0.111,0.85,113.371,65
Born Under Punches (The Heat Goes On) - 2005 Remaster,4eBCTzBsSjYgrLH5clQf2x,0.215,0.734,0.859,0.343,0.343,-7.237,0.0922,0.908,112.941,55
Riders on the Storm,14XWXWv5FoCbFzLksawpEe,0.25,0.549,0.722,0.0138,0.0138,-11.729,0.0283,0.716,103.885,74
Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,0.0632,0.73,0.868,0.0661,0.0661,-7.325,0.0288,0.923,148.217,66
I Want To Break Free - Remastered 2011,7h2yhVxcZOGyQdOwD4Hu8J,0.0853,0.795,0.433,0.000284,0.000284,-8.927,0.0324,0.6,108.947,63
Hold Me Now (Extended Short),7r17jMIduL3BTaxdsUIwj6,0.603,0.874,0.627,0.0197,0.0197,-8.496,0.0353,0.723,107.926,47
Sick Beat,77p1CIEpT4kXMa8R4i7etL,0.156,0.747,0.681,0.0,0.0,-6.353,0.117,0.853,98.978,48
Live And Let Die,74Qio2ajLFnRgNTXS0J0q4,0.257,0.454,0.522,0.00153,0.00153,-9.942,0.062,0.202,124.656,29
I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,0.356,0.504,0.904,0.121,0.121,-6.863,0.179,0.772,176.808,79
Sympathy For The Devil - 50th Anniversary Edition,1Ud6moTC0KyXMq1Oxfien0,0.518,0.7020000000000001,0.6679999999999999,0.0,0.0588,-9.237,0.214,0.561,116.06299999999999,75
Girl U Want - 2009 Remaster,0rNXiNb8IN78GL6cx9VsP7,0.125,0.735,0.569,7.67e-06,7.67e-06,-7.526,0.0596,0.826,172.488,47
Manic Depression,3f5JtAsGRIXN8pSAeTi6vA,0.0134,0.357,0.969,0.0677,0.0677,-4.99,0.124,0.704,149.741,49
Gimme Shelter,6H3kDe7CGoWYBabAeVWGiD,0.447,0.634,0.63,0.039,0.039,-8.277,0.031,0.489,118.628,75
Start Me Up - Remastered,7HKez549fwJQDzx3zLjHKC,0.0436,0.631,0.932,0.13699999999999998,0.0918,-4.1419999999999995,0.0354,0.971,122.429,76
Little Wing,1Eolhana7nKHYpcYpdVcT5,0.181,0.515,0.534,0.00278,0.00278,-8.045,0.0768,0.426,70.776,71
Voodoo Child (Slight Return),2AxCeJ6PSsBYiTckM0HLY7,0.48,0.214,0.91,0.00839,0.00839,-6.662,0.389,0.447,175.561,67
Hey Joe,0NWPxcsf5vdjdiFUI8NgkP,0.00603,0.346,0.768,0.38,0.38,-5.695,0.0377,0.532,169.492,71
Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,0.168,0.66,0.816,0.0181,0.0608,-6.61,0.0299,0.6779999999999999,111.346,74
Sunny Afternoon - Stereo Version,4I1WBw0xqdenkemd6gwIyp,0.129,0.555,0.553,0.0,0.0,-6.658,0.0244,0.446,61.998,37
Gut Feeling / (Slap Your Mammy),2vFaBeQqDVZW9SiJeiM4LU,0.0128,0.297,0.811,0.538,0.538,-10.267,0.0583,0.722,165.376,51
Blue Monday - 2016 Remaster,1RSy7B2vfPi84N80QJ6frX,0.000726,0.793,0.703,0.88,0.88,-9.548,0.0581,0.856,130.27,69
La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,0.00249,0.545,0.64,0.0304,0.196,-9.937000000000001,0.22399999999999998,0.606,80.544,75
Azo Toke,5DagCzNa8BQleTnwgJaiGf,0.317,0.617,0.71,0.178,0.178,-7.581,0.286,0.488,135.953,26
Likolo,2ZYzHBBlBq1f3ZWKksQfmx,0.291,0.698,0.919,0.000551,0.000551,-7.083,0.0393,0.746,93.789,30
Dreams Never End - 2015 Remaster,32TKQVwtSGCHIqmbmaNdFj,0.0154,0.606,0.913,0.905,0.905,-7.865,0.0417,0.817,146.15,51
Zombie,2IZZqH4K02UIYg5EohpNHF,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.97299999999998,80
Blackbird Singing,6jNKJ3tW2MOApL3cYMSj4L,0.324,0.786,0.6,2.61e-05,2.61e-05,-5.54,0.194,0.864,147.225,50
Waiting In Vain,7FILn9Akg2468HPNsRZCkq,0.025,0.838,0.453,2.42e-05,2.42e-05,-11.536,0.31,0.815,78.837,0
Kids,1jJci4qxiYcOHhQR247rEU,0.00076,0.451,0.931,0.0049,0.0049,-3.871,0.0719,0.172,122.961,78
Jump Around,3TZwjdclvWt7iPJUnMpgcs,0.0113,0.854,0.71,8.72e-05,8.72e-05,-6.32,0.0793,0.818,106.894,74
Blitzkrieg Bop - 2016 Remaster,4KcH1ZRV2W1q7Flq0QqC76,0.000269,0.385,0.783,0.47,0.47,-2.533,0.233,0.902,176.701,71
In Between Days - 2006 Remaster,6GMINfW885iQ3N4hfMXoGm,0.109,0.541,0.83,0.701,0.701,-6.246,0.0316,0.711,142.592,32
Temptation,4ELWT1yVHNK5Bo6MOpI4oR,0.00173,0.783,0.742,0.0602,0.0602,-8.697,0.0314,0.646,125.608,48
Goodbye Stranger - 2010 Remastered,67oyFnjJnn78fZP9KjeZx0,0.607,0.42,0.668,0.016,0.016,-7.35,0.0517,0.338,125.391,66
Disorder - 2007 Remaster,38wCbVfMreML5ZhF5iQuKA,0.00033,0.32,0.798,0.692,0.692,-7.078,0.124,0.74,84.696,20
Through Being Cool - 2010 Remaster,0U2ecxStCgfedp9aCSA45b,0.00584,0.645,0.536,0.000839,0.000839,-10.589,0.0655,0.832,156.7,32
Freedom of Choice,2rqVAj02zaRGkNq6CR97nH,0.457,0.835,0.871,0.00852,0.00852,-13.353,0.0359,0.963,140.386,39
Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.182,0.491,0.583,0.0,0.40700000000000003,-10.964,0.0376,0.907,150.572,79
Owner of a Lonely Heart,0GTK6TesV108Jj5D3MHsYb,0.175,0.744,0.798,0.00367,0.00367,-5.981,0.0364,0.89,125.061,70
Uncle Albert / Admiral Halsey - Medley / Remastered 2012,5SwgE4wA0P7f6AEz2UQMB2,0.58,0.371,0.507,0.0201,0.0201,-9.805,0.0325,0.535,91.786,55
The Sailor,4dV4G96hqT5qCU9v7JBCk2,0.11,0.455,0.566,5.24e-05,5.24e-05,-8.763,0.142,0.393,119.935,51
Gimme! Gimme! Gimme! (A Man After Midnight),2PzCOP5Aj9SABiBgNEZ52G,0.0163,0.747,0.49200000000000005,0.00897,0.22399999999999998,-9.616,0.04,0.5329999999999999,119.531,65
Break My Stride,1mCsF9Tw4AkIZOjvZbZZdT,0.195,0.917,0.588,0.0,0.0,-11.047,0.0607,0.828,110.077,75
The Name Of The Game,4CGoNahcgmwPdesr6f5Tng,0.404,0.66,0.564,0.000106,0.000106,-8.683,0.0302,0.623,77.092,35
Take A Chance On Me,6vQN2a9QSgWcm74KEZYfDL,0.173,0.685,0.685,0.0,0.0,-8.103,0.0254,0.925,106.987,51
Voulez-Vous,4XRGWn5xVdYVdSzgyQjVkC,0.16,0.682,0.862,0.000415,0.000415,-4.799,0.0435,0.897,126.393,45
Chiquitita,2v9dMIXI3aEzwv56Gd89yf,0.674,0.503,0.629,2.06e-06,2.06e-06,-6.308,0.0314,0.32,84.119,48
Super Trouper,36PNa2n55qLfQd7KLXyeoy,0.294,0.723,0.724,0.0,0.0,-6.378,0.0304,0.927,117.99,46
SOS,5pMmWfuL0FTGshYt7HVJ8P,0.0629,0.393,0.719,0.00432,0.00432,-4.773,0.0279,0.497,124.353,63
Lay All Your Love On Me,2245x0g1ft0HC7sf79zbYN,0.0187,0.695,0.701,0.0464,0.0464,-6.435,0.0281,0.58,133.0,66
I Have A Dream,5Ywni2cDKsHSKbburrGFgL,0.534,0.53,0.477,0.0,0.0,-8.954,0.0244,0.446,104.136,45
Waterloo,0RzhMHIsFMbOGh0oWDvNNK,0.423,0.441,0.926,3.38e-06,3.38e-06,-4.736,0.046,0.779,147.564,59
Mamma Mia,22NN4BS1AlqVbyKIWExgON,0.287,0.75,0.754,0.000207,0.000207,-6.999,0.0327,0.83,137.533,57
Dancing Queen,4NtUY5IGzHCaqfZemmAu56,0.382,0.539,0.884,0.00166,0.00166,-6.53,0.0403,0.752,100.812,60
One Way Or Another,59CLe8stbcx4XYBWdsfbwK,0.0532,0.442,0.922,3.86e-06,3.86e-06,-5.086,0.0655,0.855,162.272,57
Making Plans For Nigel,1XT5kxg6Tk0ukCO2vBQN4v,0.0143,0.632,0.893,5.24e-06,5.24e-06,-6.04,0.0455,0.773,149.97,59
Call Me,7HKxTNVlkHsfMLhigmhC0I,0.000646,0.554,0.833,0.0025,0.0025,-6.667,0.0347,0.773,142.673,65
Working in the Coal Mine,3alBp4FAwRPDppcSBlCVeo,0.562,0.794,0.672,0.00265,0.00265,-7.575,0.119,0.78,158.937,38
Hold On - Remastered 2010,4bN43jYf41eIjJZ3UXQpuA,0.538,0.684,0.21,0.031,0.031,-18.204,0.0841,0.681,83.383,61
Sailor,2cHuQV2Iag6phx3viexosw,0.224,0.777,0.496,0.000131,0.000131,-8.34,0.031,0.43,99.948,38
Wipe Out - Hit Version / Extended Ending,4anUinKv803lyDD1vaSXhU,0.385,0.336,0.636,0.909,0.909,-13.785,0.0374,0.521,152.423,48
Nigeria Drive On The Right,25qZtp68RoFLZf1dj5iAH6,0.814,0.58,0.526,5.91e-05,5.91e-05,-6.73,0.0549,0.769,80.522,7
New York Groove,1BvpeiApX8qhof8Pmi3YlH,0.61,0.826,0.608,0.000164,0.000164,-8.442,0.162,0.846,95.085,59
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,0.000217,0.35,0.828,0.000161,0.000161,-5.373,0.041,0.147,105.435,76
Bam Bam,7cKLOenzViwzoHJWciMIrj,0.825,0.722,0.605,0.0178,0.0178,-6.07,0.153,0.709,165.998,2
Twelve Thirty - Single Version,4ZK6Vo5lRD0IkT9Fm8b93L,0.345,0.557,0.444,0.0,0.0,-13.986,0.0305,0.472,113.252,50
Goodbye Girl,6lN1OCoa7avKZsmngLWJrn,0.266,0.635,0.621,0.0,0.0,-14.331,0.0396,0.906,155.677,37
All Together Now,4KELrBm2uoyn9tq6fZ5P98,0.116,0.606,0.413,0.0,0.0,-7.902,0.0622,0.889,96.245,44
Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,0.0112,0.386,0.607,1.3800000000000002e-05,0.08800000000000001,-7.7,0.0261,0.532,147.207,75
Pass The Dutchie,1BkY0N8ChFk2mdLbAUu8ZK,0.459,0.805,0.418,0.0,0.0,-14.374,0.0979,0.966,149.724,60
Something - Remastered 2009,0pNeVovbiZHkulpGeOx1Gj,0.198,0.396,0.338,2.62e-06,2.62e-06,-10.872,0.0304,0.377,133.522,71
Is This Love,6JRLFiX9NJSoRRKxowlBYr,0.11,0.776,0.559,0.0,0.0,-8.375,0.103,0.758,122.242,74
Don't Go Breaking My Heart,5pKJtX4wBeby9qIfFhyOJj,0.177,0.742,0.863,5.59e-06,5.59e-06,-7.823,0.038,0.776,131.193,69
Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,0.739,0.657,0.435,0.0,0.0,-15.707,0.0552,0.771,135.975,70
Hold the Line,4aVuWgvD0X63hcOCnZtNFA,0.00783,0.473,0.898,0.0618,0.0618,-4.797,0.0561,0.808,96.556,76
What's Going On,34b3a3Pz9Jlz0092LMyNAB,0.0991,0.265,0.824,0.0,0.0,-5.654,0.0991,0.811,203.206,70
Last Train to London,6xE6ZWzK1YDDSYzqOCoQlz,0.396,0.727,0.537,0.000789,0.000789,-9.785,0.0295,0.954,121.493,68
I Saw Her Standing There - Remastered,63nTBScSLXWwyeizXi9Rmi,0.27,0.491,0.801,0.0,0.0,-9.835,0.0361,0.971,160.109,0
I Heard It Through The Grapevine,37j56IWzpplKE5zrlQRmxc,0.199,0.724,0.346,0.0,0.0,-11.256,0.0366,0.637,117.188,60
Bring a Little Lovin',24hTWZvRrl74dwKPzqVNYf,0.00659,0.601,0.913,0.0125,0.0125,-4.681,0.134,0.91,115.348,48
I Am The Walrus - Remastered 2009,6Pq9MmkDQYZiiCDpxnvrf6,0.0828,0.401,0.556,0.000359,0.000359,-10.532,0.0513,0.654,85.206,64
Straight Shooter,5m63cyB8bzbRSEs53K8CxF,0.754,0.612,0.644,0.0,0.0,-10.018,0.0288,0.819,119.809,50
Hush,56g4uLimIX2Y6IQM7mCk6Z,0.519,0.556,0.821,0.742,0.742,-6.967,0.0677,0.561,109.662,0
Annie Get Your Gun,3sMJvX1hwcIaQgLtoE0fPJ,0.13,0.565,0.825,3.15e-06,3.15e-06,-7.732,0.0445,0.733,168.955,34
Cool For Cats,0SKXY43BvvMRemGKFdCx4x,0.351,0.784,0.884,0.000303,0.000303,-9.996,0.0979,0.961,144.155,47
I Wanna Be Sedated - 2002 Remaster,6vvmYYUvGXtZLU8msxKvzF,0.169,0.597,0.96,2.89e-05,2.89e-05,-3.989,0.042,0.937,163.017,62
The Distance,0xMEF2WiqKWTIG7Krjungw,0.00796,0.463,0.749,0.00219,0.00219,-8.118,0.0891,0.888,183.048,64
Free Fallin',4CQX5erTD88eY1VzcpR0bm,0.344,0.433,0.53,1.05e-06,1.05e-06,-7.411,0.0278,0.477,171.129,43
Total Eclipse of the Heart,5prTs2HAw2G4idHZyeFp8o,0.195,0.435,0.658,0.0,0.0,-8.179,0.0661,0.184,130.276,11
