Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity,Predict,Karaokability
Gold Dust Woman - 2004 Remaster,1cioTI6lHVmW4UWKEi8ChG,0.259,0.6659999999999999,0.599,0.000769,0.000769,-9.352,0.0305,0.696,123.16,60,1,0.7863555435828533
Paper Planes,1kusepF3AacIEtUTYrw4GV,0.033,0.447,0.848,7.45e-05,7.45e-05,-6.175,0.222,0.485,172.247,45,1,0.7861669070714313
Intergalactic - Remastered,5fpizYGbi5IQoEraj6FP0R,0.022000000000000002,0.7340000000000001,0.8640000000000001,9.85e-06,9.85e-06,-6.119,0.303,0.47,105.932,68,1,0.7859507802183623
Farmer Refuted,2G9lekfCh83S0lt2yfffBz,0.684,0.795,0.409,0.0,0.0,-8.334,0.37200000000000005,0.5770000000000001,77.87899999999999,70,1,0.7856821399869839
"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",5E8yddtSG3sH4hw2SfwcgW,0.787,0.306,0.132,0.0,0.0,-19.31,0.0538,0.473,78.46,65,1,0.7855392806276189
"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,0.275,189.857,78,1,0.7855047771325699
Silver Springs - 2004 Remaster,4nZi6XNe36Ut4Nij3IQ1yC,0.007659999999999999,0.348,0.5760000000000001,0.0462,0.0462,-8.388,0.0289,0.428,179.014,61,1,0.7853498446796047
STOP TRYING TO BE GOD,1xYpVRspgaLxdJLOTQkTjg,0.221,0.588,0.5670000000000001,0.0,0.135,-3.738,0.0628,0.113,150.009,72,1,0.7852171927777488
Shining Star,0RgcOUQg4qYAEt9RIdf3oB,0.6679999999999999,0.6759999999999999,0.6920000000000001,0.00915,0.00915,-13.093,0.052000000000000005,0.799,102.516,62,1,0.7851069025013967
Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,0.0168,0.713,0.831,0.0,0.0,-4.75,0.15,0.584,173.94799999999998,70,1,0.7841538272737443
Roundabout - 2003 Remaster,0YveezON7jpiaHA8fnUHxN,0.0682,0.41,0.7609999999999999,0.0077,0.0077,-9.453,0.0687,0.391,132.889,65,1,0.7840615384515072
"Fun, Fun, Fun",4T5SR1krNuVLOnxSjYb8nW,0.222,0.52,0.701,0.0,0.0,-8.953,0.0345,0.965,154.17700000000002,45,1,0.7839588392669413
Noon KO,7yUVn2zRR5IpNLS0VrolyT,0.0078,0.835,0.973,0.353,0.353,-4.375,0.135,0.7020000000000001,139.967,3,1,0.7835950563342506
Mansard Roof,1f1yeiwuYTE8uUK3azgIX1,0.365,0.536,0.7,0.00010700000000000001,0.00010700000000000001,-4.284,0.141,0.7140000000000001,165.40599999999998,51,1,0.7834221904330992
Friday I'm in Love,263aNAQCeFSWipk896byo6,0.000972,0.526,0.762,0.000116,0.338,-12.437,0.0342,0.505,136.203,66,1,0.7832819165445988
Big Time Rush,5lEsM6qpuzuZwij6jIZPvP,0.0273,0.599,0.888,0.0,0.28,-2.931,0.0514,0.833,121.05,57,1,0.7832308753994496
Ain't No Mountain High Enough - Mono Version,4njseCGxWeZUksjhrqkleT,0.355,0.621,0.825,0.000932,0.000932,-6.005,0.0324,0.8859999999999999,129.168,0,1,0.7830841338520991
The Bean Kicked In,2jWdfpU2kvrOyEroQxQls2,0.00041,0.735,0.7509999999999999,0.0,0.0,-5.551,0.0705,0.575,73.039,48,1,0.7830346097315515
Beggin',4YeKAwFn69ehnciOfi7Sbf,0.0284,0.715,0.7959999999999999,0.0,0.0658,-4.8889999999999985,0.0534,0.431,129.04,62,1,0.7828714719385319
Love Is the Answer,0VLfdnoTsszhREgtvsxtiy,0.58,0.29100000000000004,0.512,0.0,0.0,-11.964,0.0384,0.501,201.571,34,1,0.7827621537894773
Price Tag,5mvKuE9Lf9ARVXVXA32kK9,0.0281,0.638,0.831,3.06e-06,0.277,-3.944,0.182,0.685,175.03799999999995,61,1,0.7827053709896421
You're My Best Friend - Remastered 2011,4OKf7CcYuw5H2HptkcKxcP,0.158,0.518,0.7609999999999999,0.00765,0.00765,-7.025,0.0452,0.5760000000000001,118.738,59,1,0.7826499243278388
American Boy,22UDw8rSfLbUsaAGTXQ4Z8,0.171,0.727,0.7290000000000001,0.0,0.07,-2.99,0.326,0.512,117.932,78,1,0.7822501223205747
I'm Waiting For The Day - Remastered,2VQhc1Qo1pye020xrtOIVW,0.469,0.34299999999999997,0.495,0.00117,0.00117,-9.317,0.037000000000000005,0.544,166.63299999999998,35,1,0.7817779885191714
Back At It,5GxLshYIBBgkrW4a9aUVn0,0.607,0.758,0.716,9.520000000000001e-05,9.520000000000001e-05,-6.621,0.34600000000000003,0.565,189.872,0,1,0.7816854082222795
No Doubt,0YF6yKcIYwAzU4LfIXHDcS,0.00451,0.424,0.901,4.71e-05,0.0281,-0.345,0.0925,0.301,149.35399999999996,52,1,0.7814893324889823
Dance This Mess Around,207qLd1ovrqfYVBBDrNMUM,0.0168,0.608,0.7120000000000001,0.00036899999999999997,0.00036899999999999997,-7.957000000000001,0.0821,0.542,161.072,47,1,0.7814330858934102
Celebration Station,25B5fGr9K0VdZJiRFsnMO4,0.101,0.748,0.7709999999999999,0.0,0.135,-4.1560000000000015,0.15,0.792,142.086,65,1,0.7812494128822425
Day Tripper - Remastered 2015,29b2b96jozyD9GPCkOrVLs,0.12,0.665,0.782,4.19e-06,4.19e-06,-8.437999999999999,0.0307,0.731,137.453,62,1,0.781027475056
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,0.11199999999999999,0.9329999999999999,0.528,0.32899999999999996,0.32899999999999996,-6.472,0.162,0.7559999999999999,109.975,73,1,0.7809942837849239
Rehab (Winter In Paris),0zWbYGQq5O1KQd0iqzgjP6,0.809,0.5489999999999999,0.242,8.1e-05,0.127,-11.692,0.038,0.28600000000000003,144.211,74,1,0.7807374448620997
Foxey Lady,23MrkN7g6Q5U7GLIxNHN1B,0.0751,0.507,0.847,0.237,0.237,-5.987,0.0411,0.5660000000000001,98.096,61,1,0.7804494748774284
