Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,0.145,0.808,0.745,0.0,0.292,-5.26,0.342,0.829,165.995,85
FEAR.,23luOrEVHMfoX0AhfbQuS6,0.604,0.588,0.479,7.2e-06,0.527,-7.039,0.281,0.434,150.414,64
XXX. FEAT. U2.,4iYRa2btalAzPZoSYfROqF,0.138,0.568,0.619,1.67e-06,0.11,-6.899,0.414,0.293,170.115,65
LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,0.779,126.058,78
Lust,7oJrVhiTPZGBXWPwhxjy9S,0.138,0.718,0.767,0.0,0.114,-5.641,0.166,0.519,160.084,75
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,0.421,150.011,82
PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,0.0786,0.665,0.535,1.68e-05,0.154,-7.056,0.0572,0.37,138.842,69
LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,0.0265,0.658,0.535,0.0,0.2,-8.983,0.0573,0.419,110.684,71
Feeling Whitney,35r28RDot7nPE7y9K9H7l0,0.787,0.412,0.227,4.69e-06,0.282,-12.696,0.0359,0.226,80.111,79
Element,57BGVV6wcyhbn3hsjlqEZB,0.0301,0.772,0.878,2.18e-06,0.251,-4.22,0.324,0.305,61.311,80
YAH.,4BHSjbYylfOH5WAGusDyni,0.576,0.67,0.7,5.34e-06,0.226,-7.893,0.196,0.648,69.986,63
DNA.,6HZILIRieu8S0iqY8kIKhj,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,0.422,139.913,77
Blood On My Jeans,0fCwrjKfWxF3xQhZrYUw4T,0.183,0.868,0.55,0.0,0.109,-6.417,0.226,0.464,117.943,79
Yikes,75dLEqanQTupF3dtP9exT5,0.0409,0.911,0.637,3.68e-05,0.238,-8.381,0.447,0.66,149.996,73
All Mine,3U21A07gAloCc4P7J8rxcn,0.123,0.925,0.31,0.0,0.0931,-6.531,0.291,0.291,121.927,71
